Date,Incoming Calls,Talk Duration (AVG),Waiting Time (AVG),Product Group
2025-04-23,284,158,119,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-24,231,166,165,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-25,185,195,80,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-26,197,169,121,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-27,15,194,108,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-28,230,167,61,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-29,233,171,94,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-30,238,181,119,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-01,42,171,100,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-02,215,186,174,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-03,153,155,55,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-04,39,222,97,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-05,336,176,138,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-06,238,173,116,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-07,186,158,130,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-08,203,153,116,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-09,185,169,153,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-10,38,206,57,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-11,25,164,46,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-12,204,158,514,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-13,296,160,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-14,235,167,106,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-15,198,162,103,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-16,181,159,48,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-17,166,159,61,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-18,19,147,3,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-19,199,157,156,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-20,176,150,176,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-21,223,162,170,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-22,197,171,354,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-23,212,166,174,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-24,202,169,208,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-25,23,182,62,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-26,228,157,217,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-27,203,167,112,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-28,192,170,116,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-29,212,171,105,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-30,211,202,232,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-05-31,168,196,162,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-01,209,234,235,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-02,0,217,84,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-03,201,173,99,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-04,165,169,101,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-05,125,187,158,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-06,103,185,201,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-07,125,235,113,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-08,39,179,92,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-09,18,185,68,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-10,111,259,166,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-11,165,201,222,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-12,159,236,122,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-13,114,185,180,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-14,140,225,166,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-15,130,168,186,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-16,10,207,20,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-17,24,254,8,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-18,0,172,72,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-19,48,233,4,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-20,24,203,244,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-21,37,232,12,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-22,41,144,46,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-23,48,192,34,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-24,118,202,79,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-25,116,207,207,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-26,19,234,40,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-27,127,250,152,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-28,132,216,191,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-29,25,175,17,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-30,14,221,66,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-31,170,233,65,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-01,133,266,64,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-02,111,229,59,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-03,134,233,164,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-04,187,278,147,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-05,458,173,243,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-06,112,234,184,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-07,395,177,236,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-08,189,196,143,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-09,197,189,72,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-10,212,238,141,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-11,145,212,105,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-12,115,192,169,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-13,46,124,81,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-14,149,227,68,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-15,156,239,80,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-16,157,294,20,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-17,144,329,45,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-18,152,236,125,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-19,97,115,115,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-20,26,181,72,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-21,288,240,191,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-22,142,216,65,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-23,186,199,92,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-24,147,203,113,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-25,112,258,54,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-26,128,265,81,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-27,43,267,85,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-28,137,220,17,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-29,180,195,49,PRODUCT_ABC_DESKTOP_EN_PHN
2025-04-30,125,186,134,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-01,21,214,57,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-02,150,249,119,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-03,117,271,77,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-04,42,304,130,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-05,246,272,89,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-06,154,216,86,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-07,116,172,110,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-08,157,173,124,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-09,122,203,105,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-10,0,353,41,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-11,0,193,51,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-12,118,243,419,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-13,212,184,40,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-14,163,258,82,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-15,150,232,58,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-16,114,209,34,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-17,116,213,44,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-18,27,176,7,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-19,129,228,115,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-20,130,187,149,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-21,137,176,154,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-22,126,186,286,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-23,136,230,146,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-24,111,283,167,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-25,26,251,50,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-26,145,208,161,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-27,138,235,95,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-28,141,275,91,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-29,154,239,122,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-30,158,258,214,PRODUCT_ABC_DESKTOP_EN_PHN
2025-05-31,112,303,137,PRODUCT_ABC_DESKTOP_EN_PHN
2025-03-01,147,170,320,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-02,0,164,56,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-03,168,155,92,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-04,119,173,118,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-05,142,173,223,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-06,73,164,224,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-07,113,159,106,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-08,44,187,179,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-09,0,128,130,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-10,95,102,167,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-11,120,174,341,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-12,113,131,180,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-13,84,147,225,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-14,90,181,243,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-15,91,102,271,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-16,26,121,23,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-17,39,117,30,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-18,0,139,35,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-19,18,154,3,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-20,23,140,384,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-21,38,174,73,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-22,38,101,100,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-23,0,80,69,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-24,103,148,153,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-25,130,123,304,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-26,0,165,60,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-27,107,144,168,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-28,92,152,307,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-29,12,156,2,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-30,0,148,119,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-31,92,161,125,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-01,136,132,73,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-02,108,130,61,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-03,152,151,204,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-04,159,168,198,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-05,352,135,375,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-06,122,181,213,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-07,336,134,311,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-08,179,137,143,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-09,139,175,88,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-10,156,104,225,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-11,93,121,161,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-12,121,132,151,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-13,11,60,27,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-14,131,130,40,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-15,116,154,104,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-16,130,144,124,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-17,124,155,87,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-18,142,169,150,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-19,89,126,139,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-20,0,169,79,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-21,216,181,271,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-22,117,165,144,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-23,144,125,129,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-24,152,138,201,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-25,111,146,97,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-26,94,134,150,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-27,0,167,102,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-28,125,166,90,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-29,104,188,144,PRODUCT_ABC_MOBILE_EN_CHAT
2025-04-30,116,135,107,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-01,28,162,88,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-02,137,147,225,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-03,94,149,56,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-04,0,197,142,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-05,187,122,141,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-06,130,174,164,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-07,108,130,146,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-08,139,127,134,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-09,63,131,207,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-10,10,172,54,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-11,24,156,27,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-12,82,138,554,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-13,186,151,75,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-14,134,158,77,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-15,122,172,129,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-16,87,136,39,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-17,104,114,96,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-18,29,154,0,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-19,112,135,152,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-20,99,157,151,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-21,125,153,166,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-22,91,151,396,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-23,112,156,187,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-24,106,191,222,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-25,19,205,64,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-26,141,143,244,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-27,91,154,98,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-28,101,175,145,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-29,141,137,132,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-30,101,188,265,PRODUCT_ABC_MOBILE_EN_CHAT
2025-05-31,76,176,192,PRODUCT_ABC_MOBILE_EN_CHAT
2025-03-01,124,211,285,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-02,43,191,83,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-03,107,225,82,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-04,80,144,101,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-05,87,213,237,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-06,62,184,227,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-07,53,252,77,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-08,13,182,76,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-09,10,226,90,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-10,81,156,184,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-11,86,207,323,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-12,72,197,175,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-13,80,167,193,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-14,79,212,188,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-15,68,215,221,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-16,7,185,22,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-17,18,148,0,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-18,13,206,96,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-19,0,166,39,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-20,14,163,298,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-21,28,222,40,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-22,19,122,72,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-23,15,120,71,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-24,50,210,129,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-25,94,161,289,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-26,34,131,68,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-27,64,196,176,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-28,78,207,268,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-29,0,166,27,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-30,0,151,53,PRODUCT_ABC_MOBILE_EN_PHN
2025-03-31,68,225,86,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-01,68,205,44,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-02,83,249,33,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-03,120,208,200,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-04,84,213,212,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-05,242,186,331,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-06,71,253,228,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-07,267,205,303,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-08,103,224,166,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-09,111,196,112,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-10,142,179,143,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-11,54,181,128,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-12,57,240,148,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-13,18,187,30,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-14,79,178,98,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-15,101,173,100,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-16,84,209,91,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-17,55,194,83,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-18,89,225,142,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-19,48,66,115,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-20,31,202,103,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-21,152,182,236,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-22,93,148,101,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-23,122,161,110,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-24,104,172,142,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-25,81,228,51,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-26,54,236,125,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-27,14,225,110,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-28,76,169,22,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-29,97,203,87,PRODUCT_ABC_MOBILE_EN_PHN
2025-04-30,74,249,133,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-01,23,176,116,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-02,74,196,186,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-03,42,203,53,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-04,26,260,75,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-05,138,231,109,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-06,86,207,117,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-07,96,211,131,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-08,75,153,136,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-09,74,202,167,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-10,19,241,52,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-11,1,160,19,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-12,89,143,482,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-13,110,213,59,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-14,88,190,97,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-15,100,164,86,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-16,57,188,51,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-17,30,225,48,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-18,32,108,0,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-19,118,144,154,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-20,64,152,159,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-21,60,238,166,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-22,74,214,342,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-23,81,222,143,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-24,78,169,188,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-25,0,185,88,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-26,100,202,183,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-27,89,202,64,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-28,54,220,73,PRODUCT_ABC_MOBILE_EN_PHN
2025-05-29,95,200,100,PRODUCT_ABC_MOBILE_EN_PHN
