Date,Incoming Calls,Answered Calls,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG)
2022-02-23,231.0,213.0,18.0,0:00:26,0:02:16,0:03:07
2022-02-24,165.0,163.0,2.0,0:00:09,0:02:25,0:02:20
2022-02-25,186.0,179.0,7.0,0:00:17,0:02:17,0:02:33
2022-02-26,173.0,164.0,9.0,0:00:18,0:02:27,0:04:09
2022-02-27,58.0,51.0,7.0,0:00:07,0:01:47,0:03:40
2022-02-28,201.0,192.0,9.0,0:00:10,0:02:18,0:02:49
2022-03-01,202.0,199.0,3.0,0:00:08,0:02:05,0:01:17
2022-03-02,218.0,212.0,6.0,0:00:07,0:01:55,0:01:50
2022-03-03,225.0,223.0,2.0,0:00:09,0:02:09,0:01:06
2022-03-04,235.0,231.0,4.0,0:00:08,0:02:19,0:01:06
2022-03-05,202.0,201.0,1.0,0:00:08,0:02:21,0:01:53
2022-03-06,43.0,39.0,4.0,0:00:11,0:02:15,0:01:50
2022-03-07,195.0,187.0,8.0,0:00:10,0:02:27,0:02:30
2022-03-08,202.0,199.0,3.0,0:00:13,0:02:23,0:01:58
2022-03-09,147.0,140.0,7.0,0:00:12,0:02:13,0:04:35
2022-03-10,147.0,145.0,2.0,0:00:09,0:02:15,0:00:58
2022-03-11,157.0,145.0,12.0,0:00:12,0:02:33,0:04:33
2022-03-12,157.0,156.0,1.0,0:00:09,0:02:24,0:00:53
2022-03-13,38.0,36.0,2.0,0:00:13,0:02:11,0:00:59
2022-03-14,166.0,162.0,4.0,0:00:09,0:02:29,0:02:45
2022-03-15,228.0,216.0,12.0,0:00:13,0:02:15,0:01:46
2022-03-16,254.0,247.0,7.0,0:00:10,0:01:54,0:01:17
2022-03-17,134.0,134.0,0.0,0:00:03,0:02:13,0:00:26
2022-03-18,70.0,67.0,3.0,0:00:12,0:02:01,0:01:16
2022-03-19,83.0,82.0,1.0,0:00:07,0:02:03,0:01:16
2022-03-20,42.0,40.0,2.0,0:00:08,0:01:51,0:01:36
2022-03-21,66.0,64.0,2.0,0:00:05,0:02:00,0:01:39
2022-03-22,154.0,146.0,8.0,0:00:20,0:02:08,0:04:32
2022-03-23,142.0,135.0,7.0,0:00:23,0:02:06,0:02:15
2022-03-24,146.0,143.0,3.0,0:00:17,0:01:57,0:02:27
2022-03-25,144.0,140.0,4.0,0:00:12,0:01:53,0:02:05
2022-03-26,105.0,103.0,2.0,0:00:17,0:01:55,0:02:01
2022-03-27,36.0,35.0,1.0,0:00:16,0:01:54,0:01:31
2022-03-28,61.0,57.0,4.0,0:00:04,0:02:00,0:03:41
2022-03-29,60.0,58.0,2.0,0:00:11,0:02:08,0:01:34
2022-03-30,18.0,17.0,1.0,0:00:05,0:02:39,0:00:20
2022-03-31,206.0,202.0,4.0,0:00:09,0:01:54,0:01:10
2022-04-01,194.0,193.0,1.0,0:00:11,0:01:57,0:01:34
2022-04-02,207.0,200.0,7.0,0:00:10,0:02:08,0:02:00
2022-04-03,53.0,53.0,0.0,0:00:18,0:02:08,0:02:10
2022-04-04,147.0,145.0,2.0,0:00:09,0:01:50,0:01:24
2022-04-05,201.0,197.0,4.0,0:00:09,0:01:59,0:02:23
2022-04-06,202.0,198.0,4.0,0:00:10,0:02:09,0:01:11
2022-04-07,227.0,219.0,8.0,0:00:10,0:02:12,0:02:45
2022-04-08,167.0,163.0,4.0,0:00:07,0:02:09,0:01:50
2022-04-09,164.0,164.0,0.0,0:00:11,0:02:17,0:01:45
2022-04-10,42.0,41.0,1.0,0:00:11,0:02:09,0:01:18
2022-04-11,79.0,78.0,1.0,0:00:07,0:02:23,0:00:48
2022-04-12,165.0,162.0,3.0,0:00:09,0:02:09,0:01:50
2022-04-13,181.0,174.0,7.0,0:00:16,0:02:16,0:01:43
2022-04-14,179.0,176.0,3.0,0:00:10,0:02:26,0:01:50
2022-04-15,217.0,215.0,2.0,0:00:08,0:02:08,0:02:07
2022-04-16,171.0,167.0,4.0,0:00:10,0:02:15,0:01:50
2022-04-17,37.0,37.0,0.0,0:00:09,0:01:57,0:01:22
2022-04-18,216.0,206.0,10.0,0:00:18,0:02:09,0:02:45
2022-04-19,219.0,212.0,7.0,0:00:16,0:02:17,0:02:09
2022-04-20,205.0,202.0,3.0,0:00:11,0:02:25,0:01:37
2022-04-21,196.0,190.0,6.0,0:00:12,0:02:22,0:01:14
2022-04-22,182.0,176.0,6.0,0:00:13,0:02:13,0:01:16
2022-04-23,213.0,206.0,7.0,0:00:11,0:02:20,0:01:49
2022-04-24,,,,,,
2022-04-25,300.0,287.0,13.0,0:00:13,0:01:35,0:02:51
2022-04-26,158.0,156.0,2.0,0:00:11,0:02:23,0:01:32
2022-04-27,156.0,154.0,2.0,0:00:12,0:02:13,0:01:01
2022-04-28,163.0,163.0,0.0,0:00:10,0:02:02,0:02:46
2022-04-29,98.0,98.0,0.0,0:00:07,0:02:10,0:01:10
2022-04-30,,,,,,
2022-05-01,,,,,,
2022-05-02,290.0,289.0,1.0,0:00:12,0:02:01,0:01:10
2022-05-03,299.0,281.0,18.0,0:00:22,0:02:08,0:04:30
2022-05-04,260.0,257.0,3.0,0:00:17,0:02:13,0:01:20
2022-05-05,202.0,193.0,9.0,0:00:19,0:02:23,0:02:02
2022-05-06,132.0,131.0,1.0,0:00:17,0:02:13,0:01:30
2022-05-07,,,,,,
2022-05-08,,,,,,
2022-05-09,245.0,236.0,9.0,0:00:21,0:02:29,0:01:56
2022-05-10,186.0,182.0,4.0,0:00:14,0:02:13,0:01:38
2022-05-11,280.0,264.0,16.0,0:00:19,0:02:20,0:02:10
2022-05-12,272.0,268.0,4.0,0:00:15,0:02:30,0:01:45
2022-05-13,220.0,206.0,14.0,0:00:25,0:02:21,0:03:41
2022-05-14,,,,,,
2022-05-15,,,,,,
2022-05-16,187.0,181.0,6.0,0:00:14,0:02:20,0:01:49
2022-05-17,182.0,180.0,2.0,0:00:08,0:02:10,0:00:58
2022-05-18,192.0,188.0,4.0,0:00:20,0:01:58,0:01:56
2022-05-19,156.0,148.0,8.0,0:00:14,0:02:24,0:02:18
2022-05-20,144.0,142.0,2.0,0:00:11,0:02:19,0:01:05
2022-05-21,,,,,,
2022-05-22,,,,,,
2022-05-23,177.0,175.0,2.0,0:00:11,0:02:19,0:01:35
2022-05-24,134.0,131.0,3.0,0:00:14,0:02:23,0:01:39
2022-05-25,126.0,120.0,6.0,0:00:14,0:02:20,0:02:52
2022-05-26,167.0,163.0,4.0,0:00:16,0:02:24,0:01:12
2022-05-27,169.0,167.0,2.0,0:00:09,0:02:14,0:01:44
2022-05-28,,,,,,
2022-05-29,,,,,,
2022-05-30,,,,,,
2022-05-31,168.0,154.0,14.0,0:00:25,0:02:18,0:03:39
2022-06-01,58.0,55.0,3.0,0:00:16,0:02:11,0:02:45
2022-06-02,75.0,74.0,1.0,0:00:15,0:02:13,0:03:18
2022-06-03,28.0,28.0,0.0,0:00:07,0:02:28,0:00:51
2022-06-04,,,,,,
2022-06-05,,,,,,
2022-06-06,190.0,182.0,8.0,0:00:21,0:02:10,0:04:46
2022-06-07,162.0,155.0,7.0,0:00:19,0:02:27,0:01:50
2022-06-08,155.0,151.0,4.0,0:00:17,0:02:20,0:01:49
2022-06-09,163.0,150.0,13.0,0:00:17,0:02:22,0:02:45
2022-06-10,132.0,129.0,3.0,0:00:27,0:02:22,0:02:34
2022-06-11,,,,,,
2022-06-12,,,,,,
2022-06-13,45.0,45.0,0.0,0:00:06,0:02:06,0:00:57
2022-06-14,178.0,172.0,6.0,0:00:20,0:02:23,0:02:51
2022-06-15,133.0,132.0,1.0,0:00:10,0:02:25,0:00:59
2022-06-16,179.0,167.0,12.0,0:00:15,0:02:22,0:04:35
2022-06-17,127.0,124.0,3.0,0:00:16,0:02:22,0:01:45
2022-06-18,,,,,,
2022-06-19,,,,,,
2022-06-20,,,,,,
2022-06-21,124.0,120.0,4.0,0:00:20,0:02:33,0:02:58
2022-06-22,166.0,156.0,10.0,0:00:25,0:02:21,0:02:38
2022-06-23,168.0,166.0,2.0,0:00:21,0:02:33,0:03:43
2022-06-24,200.0,188.0,12.0,0:00:22,0:02:32,0:02:45
2022-06-25,,,,,,
2022-06-26,,,,,,
2022-06-27,186.0,174.0,12.0,0:00:23,0:02:37,0:04:35
2022-06-28,210.0,190.0,20.0,0:00:21,0:02:23,0:04:06
2022-06-29,193.0,180.0,13.0,0:00:21,0:02:32,0:01:53
2022-06-30,214.0,204.0,10.0,0:00:24,0:02:26,0:02:46
2022-07-01,489.0,451.0,38.0,0:00:16,0:00:57,0:08:45
2022-07-02,,,,,,
2022-07-03,,,,,,
2022-07-04,,,,,,
2022-07-05,207.0,195.0,12.0,0:00:24,0:02:34,0:03:00
2022-07-06,80.0,77.0,3.0,0:00:10,0:02:11,0:01:33
2022-07-07,201.0,195.0,6.0,0:00:21,0:02:30,0:02:48
2022-07-08,154.0,150.0,4.0,0:00:21,0:02:29,0:02:45
2022-07-09,,,,,,
2022-07-10,,,,,,
2022-07-11,219.0,212.0,7.0,0:00:20,0:01:56,0:04:11
2022-07-12,173.0,163.0,10.0,0:00:18,0:02:09,0:01:53
2022-07-13,207.0,194.0,13.0,0:00:18,0:02:24,0:01:41
2022-07-14,180.0,168.0,12.0,0:00:23,0:02:28,0:02:50
2022-07-15,216.0,201.0,15.0,0:00:23,0:02:11,0:02:24
2022-07-16,,,,,,
2022-07-17,,,,,,
2022-07-18,184.0,177.0,7.0,0:00:18,0:02:30,0:01:07
2022-07-19,211.0,190.0,21.0,0:00:21,0:02:25,0:01:50
2022-07-20,236.0,224.0,12.0,0:00:22,0:02:15,0:03:20
2022-07-21,206.0,194.0,12.0,0:00:18,0:02:17,0:01:50
2022-07-22,207.0,189.0,18.0,0:00:21,0:02:15,0:03:56
2022-07-23,,,,,,
2022-07-24,,,,,,
2022-07-25,168.0,159.0,9.0,0:00:23,0:02:28,0:04:35
2022-07-26,164.0,161.0,3.0,0:00:17,0:02:35,0:01:37
2022-07-27,160.0,147.0,13.0,0:00:21,0:02:34,0:02:03
2022-07-28,165.0,161.0,4.0,0:00:17,0:02:26,0:01:06
2022-07-29,130.0,124.0,6.0,0:00:23,0:02:28,0:01:50
2022-07-30,,,,,,
2022-07-31,,,,,,
2022-08-01,210.0,200.0,10.0,0:00:23,0:02:24,0:02:11
2022-08-02,241.0,226.0,15.0,0:00:26,0:02:19,0:02:50
2022-08-03,232.0,210.0,22.0,0:00:29,0:02:23,0:08:16
2022-08-04,198.0,172.0,26.0,0:00:23,0:02:20,0:06:16
2022-08-05,206.0,179.0,27.0,0:00:24,0:02:16,0:02:50
2022-08-06,,,,,,
2022-08-07,,,,,,
2022-08-08,417.0,397.0,20.0,0:00:23,0:01:58,0:05:32
2022-08-09,350.0,325.0,25.0,0:00:27,0:02:22,0:02:45
2022-08-10,188.0,179.0,9.0,0:00:25,0:02:14,0:02:59
2022-08-11,206.0,186.0,20.0,0:00:24,0:02:38,0:04:35
2022-08-12,206.0,194.0,12.0,0:00:18,0:02:33,0:02:02
2022-08-13,,,,,,
2022-08-14,,,,,,
2022-08-15,183.0,165.0,18.0,0:00:27,0:02:30,0:02:19
2022-08-16,170.0,162.0,8.0,0:00:20,0:02:25,0:01:53
2022-08-17,155.0,151.0,4.0,0:00:21,0:02:20,0:02:45
2022-08-18,175.0,137.0,38.0,0:00:38,0:02:24,0:05:30
2022-08-19,64.0,45.0,19.0,0:00:32,0:02:49,0:05:30
2022-08-20,,,,,,
2022-08-21,,,,,,
2022-08-22,245.0,148.0,97.0,0:00:36,0:02:48,0:10:39
2022-08-23,208.0,204.0,4.0,0:00:19,0:03:06,0:05:14
2022-08-24,176.0,168.0,8.0,0:00:25,0:02:51,0:03:44
2022-08-25,179.0,167.0,12.0,0:00:22,0:02:41,0:04:24
2022-08-26,833.0,767.0,66.0,0:00:24,0:01:25,0:04:35
2022-08-27,,,,,,
2022-08-28,,,,,,
2022-08-29,284.0,257.0,27.0,0:00:31,0:02:33,0:07:55
2022-08-30,200.0,192.0,8.0,0:00:22,0:02:46,0:02:48
2022-08-31,254.0,239.0,15.0,0:00:29,0:02:29,0:03:36
2022-09-01,222.0,208.0,14.0,0:00:20,0:02:36,0:02:45
2022-09-02,208.0,193.0,15.0,0:00:24,0:02:27,0:03:37
2022-09-03,,,,,,
2022-09-04,,,,,,
2022-09-05,,,,,,
2022-09-06,224.0,212.0,12.0,0:00:20,0:02:25,0:03:41
2022-09-07,192.0,178.0,14.0,0:00:32,0:02:27,0:02:45
2022-09-08,239.0,231.0,8.0,0:00:20,0:02:27,0:02:03
2022-09-09,215.0,205.0,10.0,0:00:20,0:02:34,0:02:34
2022-09-10,,,,,,
2022-09-11,,,,,,
2022-09-12,171.0,157.0,14.0,0:00:21,0:02:29,0:04:30
2022-09-13,150.0,141.0,9.0,0:00:16,0:02:38,0:02:37
2022-09-14,172.0,164.0,8.0,0:00:19,0:02:22,0:03:49
2022-09-15,128.0,122.0,6.0,0:00:13,0:02:22,0:01:25
2022-09-16,21.0,21.0,0.0,0:00:08,0:03:03,0:00:58
2022-09-17,,,,,,
2022-09-18,,,,,,
2022-09-19,146.0,139.0,7.0,0:00:20,0:02:28,0:03:41
2022-09-20,129.0,127.0,2.0,0:00:19,0:02:13,0:01:49
2022-09-21,197.0,178.0,19.0,0:00:26,0:02:36,0:05:20
2022-09-22,195.0,187.0,8.0,0:00:24,0:02:25,0:03:44
2022-09-23,203.0,195.0,8.0,0:00:21,0:02:21,0:02:59
2022-09-24,,,,,,
2022-09-25,,,,,,
2022-09-26,191.0,187.0,4.0,0:00:15,0:02:23,0:01:40
2022-09-27,206.0,197.0,9.0,0:00:21,0:02:27,0:02:23
2022-09-28,198.0,196.0,2.0,0:00:23,0:02:28,0:02:03
2022-09-29,185.0,177.0,8.0,0:00:20,0:02:41,0:01:50
2022-09-30,186.0,174.0,12.0,0:00:25,0:02:27,0:02:47
2022-10-01,,,,,,
2022-10-02,,,,,,
2022-10-03,228.0,210.0,18.0,0:00:28,0:02:13,0:02:33
2022-10-04,183.0,174.0,9.0,0:00:32,0:02:16,0:03:56
2022-10-05,354.0,305.0,49.0,0:00:45,0:01:57,0:05:07
2022-10-06,451.0,441.0,10.0,0:00:19,0:01:53,0:02:31
2022-10-07,261.0,248.0,13.0,0:00:20,0:02:06,0:01:51
2022-10-08,234.0,214.0,20.0,0:00:18,0:02:06,0:02:31
2022-10-09,48.0,47.0,1.0,0:00:13,0:02:03,0:01:46
2022-10-10,248.0,236.0,12.0,0:00:20,0:02:11,0:04:36
2022-10-11,203.0,195.0,8.0,0:00:25,0:02:15,0:05:33
2022-10-12,153.0,150.0,3.0,0:00:15,0:02:15,0:02:12
2022-10-13,179.0,172.0,7.0,0:00:19,0:02:15,0:04:35
2022-10-14,173.0,165.0,8.0,0:00:19,0:02:24,0:03:24
2022-10-15,209.0,200.0,9.0,0:00:26,0:02:23,0:03:15
2022-10-16,77.0,76.0,1.0,0:00:29,0:02:16,0:01:54
2022-10-17,299.0,250.0,49.0,0:00:41,0:02:20,0:07:10
2022-10-18,220.0,212.0,8.0,0:00:21,0:02:19,0:01:50
2022-10-19,173.0,169.0,4.0,0:00:18,0:02:13,0:02:14
2022-10-20,205.0,197.0,8.0,0:00:17,0:02:23,0:01:57
2022-10-21,222.0,185.0,37.0,0:00:30,0:02:17,0:06:26
2022-10-22,465.0,441.0,24.0,0:00:30,0:02:18,0:03:40
2022-10-23,,,,,,
2022-10-24,195.0,176.0,19.0,0:00:23,0:02:05,0:02:47
2022-10-25,385.0,365.0,20.0,0:00:20,0:01:35,0:02:53
2022-10-26,250.0,223.0,27.0,0:00:25,0:02:14,0:05:24
2022-10-27,48.0,46.0,2.0,0:00:26,0:02:14,0:01:25
2022-10-28,224.0,205.0,19.0,0:00:26,0:02:15,0:03:15
2022-10-29,,,,,,
2022-10-30,,,,,,
2022-10-31,252.0,236.0,16.0,0:00:29,0:02:08,0:04:07
2022-11-01,199.0,184.0,15.0,0:00:29,0:02:23,0:03:41
2022-11-02,226.0,208.0,18.0,0:00:28,0:02:21,0:06:51
2022-11-03,240.0,236.0,4.0,0:00:18,0:02:14,0:02:08
2022-11-04,55.0,52.0,3.0,0:00:16,0:02:19,0:01:42
2022-11-05,,,,,,
2022-11-06,,,,,,
2022-11-07,231.0,219.0,12.0,0:00:13,0:02:07,0:02:35
2022-11-08,209.0,189.0,20.0,0:00:15,0:02:19,0:03:48
2022-11-09,230.0,200.0,30.0,0:00:21,0:02:21,0:04:42
2022-11-10,201.0,193.0,8.0,0:00:17,0:02:23,0:03:40
2022-11-11,,,,,,
2022-11-12,,,,,,
2022-11-13,,,,,,
2022-11-14,224.0,187.0,37.0,0:00:48,0:02:15,0:05:13
2022-11-15,195.0,185.0,10.0,0:00:21,0:02:10,0:02:45
2022-11-16,176.0,172.0,4.0,0:00:16,0:02:20,0:02:15
2022-11-17,181.0,179.0,2.0,0:00:18,0:02:21,0:02:17
2022-11-18,160.0,151.0,9.0,0:00:29,0:01:59,0:03:41
2022-11-19,,,,,,
2022-11-20,,,,,,
2022-11-21,199.0,185.0,14.0,0:00:24,0:02:18,0:02:20
2022-11-22,57.0,47.0,10.0,0:00:24,0:02:22,0:02:48
2022-11-23,187.0,153.0,34.0,0:00:38,0:02:17,0:10:41
2022-11-24,,,,,,
2022-11-25,,,,,,
2022-11-26,,,,,,
2022-11-27,,,,,,
2022-11-28,244.0,224.0,20.0,0:00:23,0:02:25,0:02:45
2022-11-29,309.0,295.0,14.0,0:00:29,0:02:16,0:02:45
2022-11-30,296.0,289.0,7.0,0:00:26,0:02:23,0:03:11
2022-12-01,240.0,230.0,10.0,0:00:26,0:02:14,0:03:14
2022-12-02,243.0,231.0,12.0,0:00:23,0:02:25,0:01:52
2022-12-03,,,,,,
2022-12-04,,,,,,
2022-12-05,195.0,174.0,21.0,0:00:32,0:02:16,0:03:40
2022-12-06,205.0,179.0,26.0,0:00:35,0:02:18,0:03:40
2022-12-07,279.0,247.0,32.0,0:00:28,0:02:10,0:04:04
2022-12-08,210.0,176.0,34.0,0:00:41,0:02:16,0:05:11
2022-12-09,180.0,160.0,20.0,0:00:28,0:02:20,0:03:59
2022-12-10,,,,,,
2022-12-11,,,,,,
2022-12-12,231.0,210.0,21.0,0:00:23,0:02:08,0:03:09
2022-12-13,178.0,172.0,6.0,0:00:25,0:02:15,0:02:52
2022-12-14,202.0,169.0,33.0,0:00:34,0:02:30,0:07:41
2022-12-15,742.0,616.0,126.0,0:00:57,0:01:55,0:05:48
2022-12-16,307.0,270.0,37.0,0:00:42,0:02:05,0:10:06
2022-12-17,,,,,,
2022-12-18,,,,,,
2022-12-19,183.0,164.0,19.0,0:00:25,0:02:22,0:01:50
2022-12-20,207.0,200.0,7.0,0:00:22,0:02:19,0:02:07
2022-12-21,188.0,181.0,7.0,0:00:32,0:02:30,0:03:54
2022-12-22,187.0,177.0,10.0,0:00:28,0:02:22,0:05:30
2022-12-23,,,,,,
2022-12-24,,,,,,
2022-12-25,,,,,,
2022-12-26,,,,,,
2022-12-27,241.0,223.0,18.0,0:00:33,0:02:23,0:03:40
2022-12-28,240.0,222.0,18.0,0:00:34,0:02:24,0:02:52
2022-12-29,261.0,235.0,26.0,0:00:45,0:02:31,0:04:24
2022-12-30,241.0,223.0,18.0,0:00:32,0:02:17,0:03:22
2022-12-31,,,,,,
2023-01-01,,,,,,
2023-01-02,,,,,,
2023-01-03,165.0,144.0,21.0,0:00:41,0:02:25,0:03:40
2023-01-04,171.0,157.0,14.0,0:00:29,0:02:29,0:01:56
2023-01-05,156.0,146.0,10.0,0:00:30,0:02:18,0:03:10
2023-01-06,255.0,205.0,50.0,0:00:49,0:02:26,0:07:36
2023-01-07,,,,,,
2023-01-08,,,,,,
2023-01-09,321.0,290.0,31.0,0:00:31,0:02:21,0:04:02
2023-01-10,214.0,195.0,19.0,0:00:34,0:02:21,0:06:25
2023-01-11,215.0,169.0,46.0,0:00:45,0:02:18,0:07:15
2023-01-12,131.0,124.0,7.0,0:00:22,0:02:17,0:02:15
2023-01-13,135.0,129.0,6.0,0:00:24,0:02:12,0:03:28
2023-01-14,124.0,121.0,3.0,0:00:27,0:02:19,0:03:19
2023-01-15,47.0,43.0,4.0,0:00:37,0:02:18,0:03:16
2023-01-16,199.0,186.0,13.0,0:00:28,0:02:18,0:02:27
2023-01-17,160.0,146.0,14.0,0:00:31,0:02:24,0:03:40
2023-01-18,165.0,151.0,14.0,0:00:28,0:02:13,0:04:53
2023-01-19,181.0,160.0,21.0,0:00:35,0:02:39,0:04:41
2023-01-20,155.0,128.0,27.0,0:00:35,0:02:23,0:05:38
2023-01-21,120.0,106.0,14.0,0:00:33,0:02:25,0:04:32
2023-01-22,31.0,28.0,3.0,0:00:40,0:02:40,0:03:12
2023-01-23,140.0,134.0,6.0,0:00:31,0:02:23,0:02:50
2023-01-24,174.0,154.0,20.0,0:00:27,0:02:24,0:06:28
2023-01-25,160.0,156.0,4.0,0:00:27,0:02:15,0:01:47
2023-01-26,178.0,169.0,9.0,0:00:29,0:02:31,0:03:40
2023-01-27,188.0,180.0,8.0,0:00:26,0:02:22,0:05:56
2023-01-28,148.0,138.0,10.0,0:00:26,0:02:24,0:05:19
2023-01-29,35.0,35.0,0.0,0:00:08,0:02:10,0:00:47
2023-01-30,210.0,194.0,16.0,0:00:35,0:02:26,0:04:26
2023-01-31,163.0,155.0,8.0,0:00:19,0:02:17,0:03:43
2023-02-01,153.0,143.0,10.0,0:00:22,0:02:28,0:03:41
2023-02-02,133.0,125.0,8.0,0:00:26,0:02:07,0:03:52
2023-02-03,133.0,131.0,2.0,0:00:12,0:02:19,0:01:19
2023-02-04,130.0,121.0,9.0,0:00:33,0:02:37,0:04:01
2023-02-05,37.0,35.0,2.0,0:00:19,0:02:21,0:01:32
2023-02-06,56.0,54.0,2.0,0:00:13,0:02:33,0:02:13
2023-02-07,216.0,210.0,6.0,0:00:12,0:01:34,0:01:42
2023-02-08,50.0,46.0,4.0,0:00:14,0:02:42,0:01:13
2023-02-09,137.0,129.0,8.0,0:00:22,0:02:26,0:02:30
2023-02-10,163.0,142.0,21.0,0:00:35,0:02:34,0:03:10
2023-02-11,135.0,115.0,20.0,0:00:36,0:02:27,0:04:35
2023-02-12,30.0,28.0,2.0,0:00:47,0:02:36,0:02:22
2023-02-13,152.0,140.0,12.0,0:00:29,0:02:32,0:02:11
2023-02-14,163.0,144.0,19.0,0:00:46,0:02:39,0:04:25
2023-02-15,134.0,122.0,12.0,0:00:37,0:02:38,0:03:51
2023-02-16,163.0,151.0,12.0,0:00:28,0:02:07,0:02:50
2023-02-17,157.0,149.0,8.0,0:00:22,0:02:28,0:04:11
2023-02-18,138.0,128.0,10.0,0:00:31,0:02:30,0:05:04
2023-02-19,28.0,25.0,3.0,0:01:00,0:02:47,0:04:46
2023-02-20,142.0,133.0,9.0,0:00:33,0:02:42,0:04:38
2023-02-21,131.0,123.0,8.0,0:00:32,0:02:40,0:02:20
2023-02-22,162.0,155.0,7.0,0:00:27,0:02:43,0:02:43
2023-02-23,140.0,132.0,8.0,0:00:28,0:02:40,0:01:51
2023-02-24,174.0,130.0,44.0,0:00:29,0:02:34,0:11:56
2023-02-25,141.0,122.0,19.0,0:00:35,0:02:49,0:05:30
2023-02-26,47.0,44.0,3.0,0:00:26,0:03:11,0:03:29
2023-02-27,234.0,206.0,28.0,0:00:38,0:02:34,0:04:35
2023-02-28,181.0,153.0,28.0,0:00:30,0:02:53,0:04:28
2023-03-01,161.0,149.0,12.0,0:00:33,0:02:40,0:04:32
2023-03-02,154.0,135.0,19.0,0:00:36,0:02:32,0:04:41
2023-03-03,140.0,126.0,14.0,0:00:34,0:02:17,0:04:10
2023-03-04,118.0,118.0,0.0,0:00:26,0:02:33,0:01:38
2023-03-05,22.0,21.0,1.0,0:00:42,0:02:24,0:02:56
